Code,Longitude,Latitude,Number of Samples,Temperature,Precipitation,Altitude (m)
FD,120.0398,27.13686,10,16.48,1686,497
GZS,116.7378,25.4839,10,19.03,1708,157
HS,112.7029,27.27414,6,16.03,1763,598
JGS,114.0766,31.81327,2,14.08,1212,158
JHS,117.8004,30.54553,10,16.12,1477,91
LCS,119.702,31.22193,10,15.52,1168,59
LS,115.9744,29.54243,5,12.58,1626,98
ML,115.7197,28.80984,10,17.04,898,397
MS,119.3055,31.8222,10,15.5,1078,384
SS,112.4749,27.91357,10,17.24,1510,479
TMS,119.5007,30.3415,9,14.1,1548,882
TTS,121.086,29.2522,10,12.44,1708,902
WYS,117.7218,27.83386,4,12.75,2135,957
